tick, sec, speed, distance, spdacm, x, y
51, 0.850000, 0.217171, 5.801883, 5.589844, 505.589844, 109.000000
52, 0.866667, 0.221243, 6.023125, 5.808594, 505.808594, 109.000000
53, 0.883333, 0.225310, 6.248436, 6.031250, 506.031250, 109.000000
54, 0.900000, 0.229374, 6.477810, 6.253906, 506.253906, 109.000000
55, 0.916667, 0.233435, 6.711245, 6.484375, 506.484375, 109.000000
56, 0.933333, 0.237491, 6.948736, 6.718750, 506.718750, 109.000000
57, 0.950000, 0.241544, 7.190280, 6.957031, 506.957031, 109.000000
58, 0.966667, 0.245593, 7.435874, 7.195313, 507.195313, 109.000000
59, 0.983333, 0.249639, 7.685513, 7.441406, 507.441406, 109.000000
60, 1.000000, 0.253681, 7.939194, 7.691406, 507.691406, 109.000000
61, 1.016667, 0.257719, 8.196913, 7.945313, 507.945313, 109.000000
62, 1.033333, 0.261754, 8.458666, 8.203125, 508.203125, 109.000000
63, 1.050000, 0.265785, 8.724451, 8.464844, 508.464844, 109.000000
64, 1.066667, 0.269812, 8.994263, 8.730469, 508.730469, 109.000000
65, 1.083333, 0.273835, 9.268098, 9.000000, 509.000000, 109.000000
66, 1.100000, 0.277855, 9.545954, 9.273438, 509.273438, 109.000000
67, 1.116667, 0.281872, 9.827825, 9.550781, 509.550781, 109.000000
68, 1.133333, 0.285884, 10.113709, 9.835938, 509.835938, 109.000000
69, 1.150000, 0.289893, 10.403602, 10.121094, 510.121094, 109.000000
70, 1.166667, 0.293898, 10.697501, 10.410156, 510.410156, 109.000000
71, 1.183333, 0.297900, 10.995401, 10.703125, 510.703125, 109.000000
72, 1.200000, 0.301898, 11.297299, 11.000000, 511.000000, 109.000000
73, 1.216667, 0.305892, 11.603191, 11.304688, 511.304688, 109.000000
74, 1.233333, 0.309883, 11.913074, 11.609375, 511.609375, 109.000000
75, 1.250000, 0.313870, 12.226945, 11.917969, 511.917969, 109.000000
76, 1.266667, 0.317854, 12.544799, 12.234375, 512.234375, 109.000000
77, 1.283333, 0.321834, 12.866632, 12.550781, 512.550781, 109.000000
78, 1.300000, 0.325810, 13.192442, 12.871094, 512.871094, 109.000000
79, 1.316667, 0.329783, 13.522225, 13.199219, 513.199219, 109.000000
80, 1.333333, 0.333752, 13.855977, 13.527344, 513.527344, 109.000000
81, 1.350000, 0.337717, 14.193694, 13.863281, 513.863281, 109.000000
82, 1.366667, 0.341679, 14.535373, 14.199219, 514.199219, 109.000000
