tick, sec, speed, distance, spdacm, x, y, energy
80, 1.333333, 0.854065, 36.765120, 35.925781, 535.925781, 109.000000, 1133469333.333333
81, 1.350000, 0.863066, 37.628186, 36.781250, 536.781250, 109.000000, 1133459333.333333
82, 1.366667, 0.872034, 38.500220, 37.640625, 537.640625, 109.000000, 1133449333.333333
83, 1.383333, 0.880968, 39.381188, 38.515625, 538.515625, 109.000000, 1133439333.333333
84, 1.400000, 0.889868, 40.271056, 39.394531, 539.394531, 109.000000, 1133429333.333333
85, 1.416667, 0.898735, 41.169792, 40.285156, 540.285156, 109.000000, 1133419333.333333
86, 1.433333, 0.907569, 42.077361, 41.183594, 541.183594, 109.000000, 1133409333.333333
87, 1.450000, 0.916370, 42.993730, 42.089844, 542.089844, 109.000000, 1133399333.333333
88, 1.466667, 0.925137, 43.918868, 43.007813, 543.007813, 109.000000, 1133389333.333333
89, 1.483333, 0.933872, 44.852740, 43.933594, 543.933594, 109.000000, 1133379333.333333
90, 1.500000, 0.942574, 45.795314, 44.867188, 544.867188, 109.000000, 1133369333.333333
91, 1.516667, 0.951244, 46.746558, 45.808594, 545.808594, 109.000000, 1133359333.333333
92, 1.533333, 0.959881, 47.706439, 46.761719, 546.761719, 109.000000, 1133349333.333333
93, 1.550000, 0.968485, 48.674924, 47.722656, 547.722656, 109.000000, 1133339333.333333
94, 1.566667, 0.977057, 49.651981, 48.687500, 548.687500, 109.000000, 1133329333.333333
95, 1.583333, 0.985597, 50.637579, 49.667969, 549.667969, 109.000000, 1133319333.333333
96, 1.600000, 0.994106, 51.631684, 50.652344, 550.652344, 109.000000, 1133309333.333333
97, 1.616667, 1.002582, 52.634266, 51.644531, 551.644531, 109.000000, 1133299333.333333
98, 1.633333, 1.011026, 53.645292, 52.648438, 552.648438, 109.000000, 1133289333.333333
99, 1.650000, 1.019439, 54.664731, 53.660156, 553.660156, 109.000000, 1133279333.333333
100, 1.666667, 1.027820, 55.692550, 54.679688, 554.679688, 109.000000, 1133269333.333333
101, 1.683333, 1.036170, 56.728720, 55.707031, 555.707031, 109.000000, 1133259333.333333
